
---------- Begin Simulation Statistics ----------
final_tick                                 5196283500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  73009                       # Simulator instruction rate (inst/s)
host_mem_usage                                1206052                       # Number of bytes of host memory used
host_op_rate                                   130989                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   265.24                       # Real time elapsed on the host
host_tick_rate                               19590677                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    19365005                       # Number of instructions simulated
sim_ops                                      34743763                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005196                       # Number of seconds simulated
sim_ticks                                  5196283500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  10420290                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5849462                       # number of cc regfile writes
system.cpu.committedInsts                    19365005                       # Number of Instructions Simulated
system.cpu.committedOps                      34743763                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.536667                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.536667                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2199664                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3626405                       # number of floating regfile writes
system.cpu.idleCycles                           95144                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                21644                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3320951                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.393211                       # Inst execution rate
system.cpu.iew.exec_refs                     12154668                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4102041                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  112753                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8079618                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                386                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               463                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4156853                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            35526819                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8052627                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             48154                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              35264177                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    106                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                122748                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  19951                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                123295                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            518                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        16653                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           4991                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  33406743                       # num instructions consuming a value
system.cpu.iew.wb_count                      35235106                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.714076                       # average fanout of values written-back
system.cpu.iew.wb_producers                  23854943                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.390414                       # insts written-back per cycle
system.cpu.iew.wb_sent                       35248526                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 55712957                       # number of integer regfile reads
system.cpu.int_regfile_writes                24229397                       # number of integer regfile writes
system.cpu.ipc                               1.863351                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.863351                       # IPC: Total IPC of All Threads
system.tol2bus.snoops                             307                       # Total snoops (count)
system.tol2bus.snoopTraffic                      3456                       # Total snoop traffic (bytes)
system.tol2bus.snoop_fanout::samples            10213                       # Request fanout histogram
system.tol2bus.snoop_fanout::mean            0.008323                       # Request fanout histogram
system.tol2bus.snoop_fanout::stdev           0.090853                       # Request fanout histogram
system.tol2bus.snoop_fanout::underflows             0      0.00%      0.00% # Request fanout histogram
system.tol2bus.snoop_fanout::0                  10128     99.17%     99.17% # Request fanout histogram
system.tol2bus.snoop_fanout::1                     85      0.83%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::2                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::3                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::4                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::overflows              0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::min_value              0                       # Request fanout histogram
system.tol2bus.snoop_fanout::max_value              1                       # Request fanout histogram
system.tol2bus.snoop_fanout::total              10213                       # Request fanout histogram
system.tol2bus.power_state.pwrStateResidencyTicks::UNDEFINED   5196283500                       # Cumulative time (in ticks) in various power states
system.tol2bus.reqLayer0.occupancy           15880000                       # Layer occupancy (ticks)
system.tol2bus.reqLayer0.utilization              0.3                       # Layer utilization (%)
system.tol2bus.respLayer0.occupancy           2171498                       # Layer occupancy (ticks)
system.tol2bus.respLayer0.utilization             0.0                       # Layer utilization (%)
system.tol2bus.respLayer1.occupancy          12686999                       # Layer occupancy (ticks)
system.tol2bus.respLayer1.utilization             0.2                       # Layer utilization (%)
system.voltage_domain.voltage                       1                       # Voltage in Volts

---------- End Simulation Statistics   ----------
