
---------- Begin Simulation Statistics ----------
final_tick                                 5195989500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
host_inst_rate                                  67856                       # Simulator instruction rate (inst/s)
host_mem_usage                                1207076                       # Number of bytes of host memory used
host_op_rate                                   121744                       # Simulator op (including micro ops) rate (op/s)
host_seconds                                   285.38                       # Real time elapsed on the host
host_tick_rate                               18207195                       # Simulator tick rate (ticks/s)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
sim_insts                                    19364844                       # Number of instructions simulated
sim_ops                                      34743451                       # Number of ops (including micro ops) simulated
sim_seconds                                  0.005196                       # Number of seconds simulated
sim_ticks                                  5195989500                       # Number of ticks simulated
system.cpu.cc_regfile_reads                  10421222                       # number of cc regfile reads
system.cpu.cc_regfile_writes                  5848986                       # number of cc regfile writes
system.cpu.committedInsts                    19364844                       # Number of Instructions Simulated
system.cpu.committedOps                      34743451                       # Number of Ops (including micro ops) Simulated
system.cpu.cpi                               0.536642                       # CPI: Cycles Per Instruction
system.cpu.cpi_total                         0.536642                       # CPI: Total CPI of All Threads
system.cpu.fp_regfile_reads                   2189506                       # number of floating regfile reads
system.cpu.fp_regfile_writes                  3623596                       # number of floating regfile writes
system.cpu.idleCycles                           93837                       # Total number of cycles that the CPU has spent unscheduled due to idling
system.cpu.iew.branchMispredicts                18572                       # Number of branch mispredicts detected at execute
system.cpu.iew.exec_branches                  3318444                       # Number of branches executed
system.cpu.iew.exec_nop                             0                       # number of nop insts executed
system.cpu.iew.exec_rate                     3.389258                       # Inst execution rate
system.cpu.iew.exec_refs                     12151587                       # number of memory reference insts executed
system.cpu.iew.exec_stores                    4096302                       # Number of stores executed
system.cpu.iew.exec_swp                             0                       # number of swp insts executed
system.cpu.iew.iewBlockCycles                  189713                       # Number of cycles IEW is blocking
system.cpu.iew.iewDispLoadInsts               8089959                       # Number of dispatched load instructions
system.cpu.iew.iewDispNonSpecInsts                 47                       # Number of dispatched non-speculative instructions
system.cpu.iew.iewDispSquashedInsts               403                       # Number of squashed instructions skipped by dispatch
system.cpu.iew.iewDispStoreInsts              4121968                       # Number of dispatched store instructions
system.cpu.iew.iewDispatchedInsts            35479099                       # Number of instructions dispatched to IQ
system.cpu.iew.iewExecLoadInsts               8055285                       # Number of load instructions executed
system.cpu.iew.iewExecSquashedInsts             46936                       # Number of squashed instructions skipped in execute
system.cpu.iew.iewExecutedInsts              35221102                       # Number of executed instructions
system.cpu.iew.iewIQFullEvents                    966                       # Number of times the IQ has become full, causing a stall
system.cpu.iew.iewIdleCycles                        0                       # Number of cycles IEW is idle
system.cpu.iew.iewLSQFullEvents                121163                       # Number of times the LSQ has become full, causing a stall
system.cpu.iew.iewSquashCycles                  18188                       # Number of cycles IEW is squashing
system.cpu.iew.iewUnblockCycles                124520                       # Number of cycles IEW is unblocking
system.cpu.iew.memOrderViolationEvents            520                       # Number of memory order violations
system.cpu.iew.predictedNotTakenIncorrect        13399                       # Number of branches that were predicted not taken incorrectly
system.cpu.iew.predictedTakenIncorrect           5173                       # Number of branches that were predicted taken incorrectly
system.cpu.iew.wb_consumers                  33392253                       # num instructions consuming a value
system.cpu.iew.wb_count                      35187572                       # cumulative count of insts written-back
system.cpu.iew.wb_fanout                     0.713619                       # average fanout of values written-back
system.cpu.iew.wb_producers                  23829346                       # num instructions producing a value
system.cpu.iew.wb_rate                       3.386032                       # insts written-back per cycle
system.cpu.iew.wb_sent                       35201547                       # cumulative count of insts sent to commit
system.cpu.int_regfile_reads                 55688805                       # number of integer regfile reads
system.cpu.int_regfile_writes                24192384                       # number of integer regfile writes
system.cpu.ipc                               1.863441                       # IPC: Instructions Per Cycle
system.cpu.ipc_total                         1.863441                       # IPC: Total IPC of All Threads
system.tol2bus.snoopTraffic                     13184                       # Total snoop traffic (bytes)
system.tol2bus.snoop_fanout::samples            10998                       # Request fanout histogram
system.tol2bus.snoop_fanout::mean            0.020731                       # Request fanout histogram
system.tol2bus.snoop_fanout::stdev           0.142489                       # Request fanout histogram
system.tol2bus.snoop_fanout::underflows             0      0.00%      0.00% # Request fanout histogram
system.tol2bus.snoop_fanout::0                  10770     97.93%     97.93% # Request fanout histogram
system.tol2bus.snoop_fanout::1                    228      2.07%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::2                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::3                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::4                      0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::overflows              0      0.00%    100.00% # Request fanout histogram
system.tol2bus.snoop_fanout::min_value              0                       # Request fanout histogram
system.tol2bus.snoop_fanout::max_value              1                       # Request fanout histogram
system.tol2bus.snoop_fanout::total              10998                       # Request fanout histogram
system.tol2bus.power_state.pwrStateResidencyTicks::UNDEFINED   5195989500                       # Cumulative time (in ticks) in various power states
system.tol2bus.reqLayer0.occupancy           16502000                       # Layer occupancy (ticks)
system.tol2bus.reqLayer0.utilization              0.3                       # Layer utilization (%)
system.tol2bus.respLayer0.occupancy           2041500                       # Layer occupancy (ticks)
system.tol2bus.respLayer0.utilization             0.0                       # Layer utilization (%)
system.tol2bus.respLayer1.occupancy          13625000                       # Layer occupancy (ticks)
system.tol2bus.respLayer1.utilization             0.3                       # Layer utilization (%)
system.voltage_domain.voltage                       1                       # Voltage in Volts

---------- End Simulation Statistics   ----------
